zipcode,population,county,state,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,mlabtests,mlab_d_mbps,mlabfastestavgmbps,comb_d_mbps,lowestpricedplan,partition_0,SCS,PriceSCS
67020,1689.0,Harvey,Kansas,62.65277777777778,9.194444444444445,53.56944444444444,252,89,5.0,12.92,18.34,61.6852140077821,45.0,2020-fixed,10,4.5
30310,26912.0,Fulton,Georgia,168.95629820051414,71.7120822622108,12.313624678663238,5707,1675,7055.0,77.62,237.32,118.46440164788702,35.0,2020-fixed,10,3.5
44410,17409.0,Trumbull,Ohio,84.93851944792974,10.662484316185695,29.35759096612296,6885,2000,8149.0,114.37,298.59,100.89150168943702,69.99,2020-fixed,10,6.999
60552,4448.0,LaSalle,Illinois,125.03977272727273,17.147727272727273,30.289772727272727,1356,474,58.0,31.24,82.94,121.1922572971583,69.99,2020-fixed,10,6.999
73947,472.0,Cimarron,Oklahoma,38.27777777777778,6.777777777777778,15.722222222222221,272,45,63.0,5.59,17.25,32.130524046434495,139.99,2020-fixed,10,13.999
35581,5778.0,Franklin,Alabama,65.82089552238806,39.97014925373134,91.19402985074628,772,257,24.0,423.04,924.55,76.59132078301957,49.95,2020-fixed,10,4.995
19950,6951.0,Sussex,Delaware,90.29615384615384,10.307692307692308,70.46538461538462,1468,358,78.0,55.71,286.91,88.55118618768037,79.99,2020-fixed,10,7.999
93657,34999.0,Fresno,California,94.8320726172466,8.576399394856278,81.79576399394857,7781,2146,11598.0,53.24,137.28,69.939928635884,35.0,2020-fixed,10,3.5
46113,14063.0,Marion,Indiana,130.29274611398964,46.44559585492228,48.994818652849744,4444,1370,1377.0,70.34,234.24,116.11048681164233,35.0,2020-fixed,10,3.5
66781,1347.0,Cherokee,Kansas,64.78125,50.03125,38.65625,325,94,192.0,96.19,288.38,76.44562137330753,50.0,2020-fixed,10,5.0
26807,2947.0,Pendleton,West Virginia,36.272277227722775,7.094059405940594,70.9009900990099,1001,313,266.0,12.91,27.3,31.367489743449482,65.0,2020-fixed,10,6.5
64083,20995.0,Cass,Missouri,145.8757281553398,76.29514563106797,19.831067961165047,7622,2009,7958.0,93.18,283.05,118.9596431322208,35.0,2020-fixed,10,3.5
16254,3471.0,Clarion,Pennsylvania,40.797687861271676,9.676300578034683,40.20809248554913,745,291,2272.0,36.61,98.31,37.644082683674974,39.99,2020-fixed,10,3.999
